order	title	last_comment	last_chord	last_lyric	comment	chord	lyric
0	She Moves In Her Own Way	[First Line]			> Intro	(G Am) 2x	
1	She Moves In Her Own Way	> Intro	(G Am) 2x		- (primeiro verso)	G                  Am                    C	So at my show on Monday I was hoping someday
2	She Moves In Her Own Way	- (primeiro verso)	G                  Am                    C	So at my show on Monday I was hoping someday		                 Bm     D      G	You'd be on your way to better things
3	She Moves In Her Own Way		                 Bm     D      G	You'd be on your way to better things		                    Am                         C	It's not about your make up or how you try to shape up
4	She Moves In Her Own Way		                    Am                         C	It's not about your make up or how you try to shape up		          Bm       D    G      C Am                 Bm D	To these tiresome paper dreams. Paper dreams honey.
5	She Moves In Her Own Way		          Bm       D    G      C Am                 Bm D	To these tiresome paper dreams. Paper dreams honey.	- (pré-refrão)	G                    Am                         C	So now you pour your heart out telling me your far out
6	She Moves In Her Own Way	- (pré-refrão)	G                    Am                         C	So now you pour your heart out telling me your far out		                    Bm   D             G	You're not about to lie down for your cause
7	She Moves In Her Own Way		                    Bm   D             G	You're not about to lie down for your cause		              Am	But you don't pull my strings
8	She Moves In Her Own Way		              Am	But you don't pull my strings		          C           Bm           D      G	Cos I'm a better man moving on to better things.
9	She Moves In Her Own Way		          C           Bm           D      G	Cos I'm a better man moving on to better things.	- (refrão)	G   D           Am	Well, uh uh oh I love her because
10	She Moves In Her Own Way	- (refrão)	G   D           Am	Well, uh uh oh I love her because		   Bm        D       Em	She moves in her own way
11	She Moves In Her Own Way		   Bm        D       Em	She moves in her own way		    C             Am	Well, uh uh oh she came to my show
12	She Moves In Her Own Way		    C             Am	Well, uh uh oh she came to my show		        Bm    D       G	Just to hear about my day.
13	She Moves In Her Own Way		        Bm    D       G	Just to hear about my day.	- (segundo verso)	 G                  Am	 And at the show on Tuesday
14	She Moves In Her Own Way	- (segundo verso)	 G                  Am	 And at the show on Tuesday		               C	She was in her mindset
15	She Moves In Her Own Way		               C	She was in her mindset		           Bm      D       G	Tempered furs and spangled boots
16	She Moves In Her Own Way		           Bm      D       G	Tempered furs and spangled boots		          Am	Looks are deceiving
17	She Moves In Her Own Way		          Am	Looks are deceiving		         C	Make me believe it
18	She Moves In Her Own Way		         C	Make me believe it		          Bm       D     G       C	And these tiresome paper dreams
19	She Moves In Her Own Way		          Bm       D     G       C	And these tiresome paper dreams		      Am                 Bm D	Paper dreams honey, yeah
20	She Moves In Her Own Way		      Am                 Bm D	Paper dreams honey, yeah	- (pré-refrão)	G             Am	So won't you go far
21	She Moves In Her Own Way	- (pré-refrão)	G             Am	So won't you go far		                C	Tell me you're a keeper
22	She Moves In Her Own Way		                C	Tell me you're a keeper		              Bm  D            G	Not about to lie down for your cause
23	She Moves In Her Own Way		              Bm  D            G	Not about to lie down for your cause		              Am	And you don't pull my strings because
24	She Moves In Her Own Way		              Am	And you don't pull my strings because		            C	Cause I'm a better man
25	She Moves In Her Own Way		            C	Cause I'm a better man		Bm           D      G	Moving on to better things
26	She Moves In Her Own Way		Bm           D      G	Moving on to better things	- (refrão)	 G   D           Am	Well, uh uh oh I love her because
27	She Moves In Her Own Way	- (refrão)	 G   D           Am	Well, uh uh oh I love her because		   Bm        D       Em	She moves in her own way
28	She Moves In Her Own Way		   Bm        D       Em	She moves in her own way		    C             Am	Well, uh uh oh she came to my show
29	She Moves In Her Own Way		    C             Am	Well, uh uh oh she came to my show		        Bm    D       G	Just to hear about my day.
30	She Moves In Her Own Way		        Bm    D       G	Just to hear about my day.	- (interlúdio)	Em    Bm            D         C	Yes I wish that we never made it
31	She Moves In Her Own Way	- (interlúdio)	Em    Bm            D         C	Yes I wish that we never made it		G               D	Through all the summers
32	She Moves In Her Own Way		G               D	Through all the summers		Em          Bm   D          C	They're keeping us instead of kicking us
33	She Moves In Her Own Way		Em          Bm   D          C	They're keeping us instead of kicking us		G                D	Back down through the suburbs
34	She Moves In Her Own Way		G                D	Back down through the suburbs		Em    Bm            D         C	Yes I wish that we never made it
35	She Moves In Her Own Way		Em    Bm            D         C	Yes I wish that we never made it		G               D	Through all the summers
36	She Moves In Her Own Way		G               D	Through all the summers		Em          Bm   D          C	They're keeping us instead of kicking us
37	She Moves In Her Own Way		Em          Bm   D          C	They're keeping us instead of kicking us		G                D	Back down through the suburbs
38	She Moves In Her Own Way		G                D	Back down through the suburbs	- (refrão final) 2x	G   D           Am	But Uh oh I love her because
39	She Moves In Her Own Way	- (refrão final) 2x	G   D           Am	But Uh oh I love her because		   Bm        D       Em	She moves in her own way
40	She Moves In Her Own Way		   Bm        D       Em	She moves in her own way		    C             Am	But uh oh she came to my show
41	She Moves In Her Own Way		    C             Am	But uh oh she came to my show		        Bm    D       G	Just to hear about my day
